cv.TM_CCOEFF
name,min_val,max_val
im155,-2242377.25,3621684.0
im156,-2234347.0,3663042.5
im157,-2237067.25,3724904.5
im158,-2235852.5,3769945.5
im159,-2233451.5,3764098.75
im160,-2230458.75,3668235.25
im161,-2234912.75,3634489.5
im162,-2242953.75,3623671.25
im163,-2243146.5,3632105.75
im164,-2254568.0,3688047.0
im165,-2249446.75,3724047.0
im166,-2247781.5,3708418.75
im167,-2247362.5,3686220.75
im168,-2247715.5,3687093.25
im169,-2247808.75,3694579.0
im170,-2243876.0,3692047.25
im171,-2244060.25,3683153.75
im172,-2243327.5,3667468.75
im173,-2248680.0,3650776.5
im174,-2243020.25,3641957.5
im175,-2241475.0,3631462.75
im176,-2247792.5,3612933.5
im177,-2242541.5,3594824.25
im178,-2221939.0,3578288.5
im179,-2214389.5,3549811.25
im180,-2189441.25,3512033.5
im181,-2168297.0,3441047.0
im182,-2125145.5,3309564.5
im183,-2436299.0,3205256.0
im184,-3266513.5,3151678.0
im185,-3613360.0,3090657.75
im186,-3769275.25,3023782.5
im187,-3816366.25,3229507.5
im188,-3855355.75,3537223.75
im189,-3865000.5,3637337.0
im190,-3849995.25,3610669.5
im191,-3835977.75,3496050.25
im192,-3814915.0,3333930.75
im193,-3790101.75,3116172.0
im194,-3745303.0,2997576.0
im195,-3700844.25,3020537.75
im196,-3603322.5,3046922.75
im197,-3511290.5,3080370.5
im198,-3331670.5,3098111.5
im199,-3118889.25,3114813.25
im200,-2957956.0,3150771.5
im201,-2753206.0,3167364.25
im202,-2578512.5,3184892.75
im203,-2492775.25,3208122.75
im204,-2401173.25,3221545.5
im205,-2317307.25,3230933.25
im206,-2287092.0,3244029.5
im207,-2252736.25,3237855.75
im208,-2216754.5,3252727.25
im209,-2191125.25,3250692.25
im210,-2182931.25,3253836.0
im211,-2213516.25,3252652.75
im212,-2252327.5,3247375.5
im213,-2365938.5,3229968.0
im214,-2523801.75,3206945.0
im215,-2708029.0,3184182.25
im216,-2883712.75,3160508.5
im217,-3015644.25,3137742.25
im218,-3119936.0,3115919.25
im219,-3164739.25,3102055.75
im220,-3190055.75,3103645.25
im221,-3185149.25,3094807.0
im222,-3180253.0,3091103.75
im223,-3155671.0,3066783.25
im224,-3159227.25,3007828.0
im225,-3184836.0,2946755.75
im226,-3230316.5,2888902.0
im227,-3308389.25,3215320.25
im228,-3315803.25,3437204.5
im229,-3255294.5,3558780.75
im230,-3179389.25,3687570.5
im231,-3163870.0,3701151.25
